"ID","Pattern","Parent.size","Offspring.number","Largest.offspring","Smallest.offspring","Combined.size","Is.Approved","Observations"
0,"[1, 1]",3,2,1,1,2,1,25334
1,"[2, 1]",4,2,2,1,3,1,4202
2,"[1, 1, 1]",4,3,1,1,3,1,53199
3,"[3, 1]",5,2,3,1,4,1,2790
4,"[2, 2]",5,2,2,2,4,1,32681
5,"[2, 1, 1]",5,3,2,1,4,0,0
6,"[1, 1, 1, 1]",5,4,1,1,4,1,47198
7,"[4, 1]",6,2,4,1,5,1,2330
8,"[3, 2]",6,2,3,2,5,1,12687
9,"[3, 1, 1]",6,3,3,1,5,1,4928
10,"[2, 2, 1]",6,3,2,1,5,1,9056
11,"[2, 1, 1, 1]",6,4,2,1,5,0,0
12,"[1, 1, 1, 1, 1]",6,5,1,1,5,1,32838
13,"[5, 1]",7,2,5,1,6,1,1534
14,"[4, 2]",7,2,4,2,6,1,4057
15,"[4, 1, 1]",7,3,4,1,6,1,3737
16,"[3, 3]",7,2,3,3,6,1,32658
17,"[3, 2, 1]",7,3,3,1,6,0,0
18,"[3, 1, 1, 1]",7,4,3,1,6,0,0
19,"[2, 2, 2]",7,3,2,2,6,1,22366
20,"[2, 2, 1, 1]",7,4,2,1,6,0,0
21,"[2, 1, 1, 1, 1]",7,5,2,1,6,0,0
22,"[1, 1, 1, 1, 1, 1]",7,6,1,1,6,1,20691
23,"[6, 1]",8,2,6,1,7,1,1063
24,"[5, 2]",8,2,5,2,7,1,4537
25,"[5, 1, 1]",8,3,5,1,7,1,3060
26,"[4, 3]",8,2,4,3,7,1,12890
27,"[4, 2, 1]",8,3,4,1,7,1,646
28,"[4, 1, 1, 1]",8,4,4,1,7,1,2286
29,"[3, 3, 1]",8,3,3,1,7,1,3908
30,"[3, 2, 2]",8,3,3,2,7,1,4615
31,"[3, 2, 1, 1]",8,4,3,1,7,0,0
32,"[3, 1, 1, 1, 1]",8,5,3,1,7,0,0
33,"[2, 2, 2, 1]",8,4,2,1,7,1,3469
34,"[2, 2, 1, 1, 1]",8,5,2,1,7,0,0
35,"[2, 1, 1, 1, 1, 1]",8,6,2,1,7,0,0
36,"[1, 1, 1, 1, 1, 1, 1]",8,7,1,1,7,1,11955
37,"[7, 1]",9,2,7,1,8,1,731
38,"[6, 2]",9,2,6,2,8,1,2731
39,"[6, 1, 1]",9,3,6,1,8,1,2131
40,"[5, 3]",9,2,5,3,8,1,6207
41,"[5, 2, 1]",9,3,5,1,8,1,452
42,"[5, 1, 1, 1]",9,4,5,1,8,1,1669
43,"[4, 4]",9,2,4,4,8,1,30972
44,"[4, 3, 1]",9,3,4,1,8,0,0
45,"[4, 2, 2]",9,3,4,2,8,0,0
46,"[4, 2, 1, 1]",9,4,4,1,8,0,0
47,"[4, 1, 1, 1, 1]",9,5,4,1,8,0,0
48,"[3, 3, 2]",9,3,3,2,8,1,2274
49,"[3, 3, 1, 1]",9,4,3,1,8,1,1260
50,"[3, 2, 2, 1]",9,4,3,1,8,0,0
51,"[3, 2, 1, 1, 1]",9,5,3,1,8,0,0
52,"[3, 1, 1, 1, 1, 1]",9,6,3,1,8,0,0
53,"[2, 2, 2, 2]",9,4,2,2,8,1,9323
54,"[2, 2, 2, 1, 1]",9,5,2,1,8,0,0
55,"[2, 2, 1, 1, 1, 1]",9,6,2,1,8,0,0
56,"[2, 1, 1, 1, 1, 1, 1]",9,7,2,1,8,0,0
57,"[1, 1, 1, 1, 1, 1, 1, 1]",9,8,1,1,8,1,6892
58,"[8, 1]",10,2,8,1,9,1,550
59,"[7, 2]",10,2,7,2,9,1,2544
60,"[7, 1, 1]",10,3,7,1,9,1,1702
61,"[6, 3]",10,2,6,3,9,1,4296
62,"[6, 2, 1]",10,3,6,1,9,1,353
63,"[6, 1, 1, 1]",10,4,6,1,9,1,1442
64,"[5, 4]",10,2,5,4,9,1,11311
65,"[5, 3, 1]",10,3,5,1,9,1,215
66,"[5, 2, 2]",10,3,5,2,9,1,1473
67,"[5, 2, 1, 1]",10,4,5,1,9,0,0
68,"[5, 1, 1, 1, 1]",10,5,5,1,9,1,744
69,"[4, 4, 1]",10,3,4,1,9,1,2196
70,"[4, 3, 2]",10,3,4,2,9,1,100
71,"[4, 3, 1, 1]",10,4,4,1,9,0,0
72,"[4, 2, 2, 1]",10,4,4,1,9,0,0
73,"[4, 2, 1, 1, 1]",10,5,4,1,9,0,0
74,"[4, 1, 1, 1, 1, 1]",10,6,4,1,9,0,0
75,"[3, 3, 3]",10,3,3,3,9,1,11013
76,"[3, 3, 2, 1]",10,4,3,1,9,0,0
77,"[3, 3, 1, 1, 1]",10,5,3,1,9,0,0
78,"[3, 2, 2, 2]",10,4,3,2,9,1,1130
79,"[3, 2, 2, 1, 1]",10,5,3,1,9,0,0
80,"[3, 2, 1, 1, 1, 1]",10,6,3,1,9,0,0
81,"[3, 1, 1, 1, 1, 1, 1]",10,7,3,1,9,0,0
82,"[2, 2, 2, 2, 1]",10,5,2,1,9,1,1035
83,"[2, 2, 2, 1, 1, 1]",10,6,2,1,9,0,0
84,"[2, 2, 1, 1, 1, 1, 1]",10,7,2,1,9,0,0
85,"[2, 1, 1, 1, 1, 1, 1, 1]",10,8,2,1,9,0,0
86,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",10,9,1,1,9,1,3744
87,"[9, 1]",11,2,9,1,10,1,357
88,"[8, 2]",11,2,8,2,10,1,1631
89,"[8, 1, 1]",11,3,8,1,10,1,1218
90,"[7, 3]",11,2,7,3,10,1,3890
91,"[7, 2, 1]",11,3,7,1,10,1,270
92,"[7, 1, 1, 1]",11,4,7,1,10,1,954
93,"[6, 4]",11,2,6,4,10,1,5459
94,"[6, 3, 1]",11,3,6,1,10,1,179
95,"[6, 2, 2]",11,3,6,2,10,1,846
96,"[6, 2, 1, 1]",11,4,6,1,10,0,0
97,"[6, 1, 1, 1, 1]",11,5,6,1,10,1,538
98,"[5, 5]",11,2,5,5,10,1,25956
99,"[5, 4, 1]",11,3,5,1,10,0,0
100,"[5, 3, 2]",11,3,5,2,10,0,0
101,"[5, 3, 1, 1]",11,4,5,1,10,0,0
102,"[5, 2, 2, 1]",11,4,5,1,10,0,0
103,"[5, 2, 1, 1, 1]",11,5,5,1,10,0,0
104,"[5, 1, 1, 1, 1, 1]",11,6,5,1,10,0,0
105,"[4, 4, 2]",11,3,4,2,10,1,910
106,"[4, 4, 1, 1]",11,4,4,1,10,1,618
107,"[4, 3, 3]",11,3,4,3,10,1,1981
108,"[4, 3, 2, 1]",11,4,4,1,10,0,0
109,"[4, 3, 1, 1, 1]",11,5,4,1,10,0,0
110,"[4, 2, 2, 2]",11,4,4,2,10,0,0
111,"[4, 2, 2, 1, 1]",11,5,4,1,10,0,0
112,"[4, 2, 1, 1, 1, 1]",11,6,4,1,10,0,0
113,"[4, 1, 1, 1, 1, 1, 1]",11,7,4,1,10,0,0
114,"[3, 3, 3, 1]",11,4,3,1,10,1,680
115,"[3, 3, 2, 2]",11,4,3,2,10,1,235
116,"[3, 3, 2, 1, 1]",11,5,3,1,10,0,0
117,"[3, 3, 1, 1, 1, 1]",11,6,3,1,10,0,0
118,"[3, 2, 2, 2, 1]",11,5,3,1,10,0,0
119,"[3, 2, 2, 1, 1, 1]",11,6,3,1,10,0,0
120,"[3, 2, 1, 1, 1, 1, 1]",11,7,3,1,10,0,0
121,"[3, 1, 1, 1, 1, 1, 1, 1]",11,8,3,1,10,0,0
122,"[2, 2, 2, 2, 2]",11,5,2,2,10,1,3124
123,"[2, 2, 2, 2, 1, 1]",11,6,2,1,10,0,0
124,"[2, 2, 2, 1, 1, 1, 1]",11,7,2,1,10,0,0
125,"[2, 2, 1, 1, 1, 1, 1, 1]",11,8,2,1,10,0,0
126,"[2, 1, 1, 1, 1, 1, 1, 1, 1]",11,9,2,1,10,0,0
127,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,10,1,1,10,1,2073
128,"[10, 1]",12,2,10,1,11,1,227
129,"[9, 2]",12,2,9,2,11,1,1449
130,"[9, 1, 1]",12,3,9,1,11,1,876
131,"[8, 3]",12,2,8,3,11,1,3078
132,"[8, 2, 1]",12,3,8,1,11,1,201
133,"[8, 1, 1, 1]",12,4,8,1,11,1,830
134,"[7, 4]",12,2,7,4,11,1,4525
135,"[7, 3, 1]",12,3,7,1,11,1,183
136,"[7, 2, 2]",12,3,7,2,11,1,896
