"","ID","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"1",0,0,22,22,36,57,57,36,36,36,57,36,36,22,12,6,6,6,2,0
"2",1,0,22,36,36,36,36,22,22,36,22,12,12,6,6,6,2,2,2,0
"3",2,0,6,12,12,22,12,12,12,12,6,12,6,6,2,2,2,2,0,0
"4",3,0,12,12,22,22,22,22,22,22,22,12,12,6,6,6,2,0,0,0
"5",4,0,12,22,22,22,22,12,12,12,12,12,12,12,6,6,6,6,2,0
"6",5,0,36,36,57,36,57,57,36,36,36,22,22,12,12,12,12,6,2,0
"7",6,0,6,12,12,22,22,22,22,22,12,22,22,22,12,12,6,2,2,0
"8",7,0,12,22,36,36,36,36,22,22,22,22,12,12,12,6,6,2,0,0
"9",8,0,22,36,22,36,57,57,57,36,36,36,22,22,12,12,6,6,2,0
"10",9,0,12,22,22,22,36,36,36,36,22,22,22,36,22,22,12,6,2,0
"11",10,0,12,12,22,12,12,12,22,12,12,12,12,12,6,6,2,2,0,0
"12",11,0,12,12,22,22,36,36,36,22,12,12,6,6,6,6,2,2,0,0
"13",12,0,12,12,12,22,22,12,12,12,12,12,12,12,6,6,6,2,2,0
"14",13,0,22,36,36,57,57,36,57,36,36,22,22,12,12,6,6,6,2,0
"15",14,0,12,22,36,36,36,22,12,12,12,6,2,6,2,0,0,0,0,0
"16",15,0,12,22,36,36,57,57,57,36,22,22,22,12,6,6,6,6,2,0
"17",16,0,6,22,22,22,22,12,22,22,22,12,6,6,6,2,0,0,0,0
"18",17,0,12,22,57,86,86,57,36,36,57,36,36,22,12,6,6,6,2,0
"19",18,0,12,12,22,22,36,36,22,36,22,22,22,22,12,6,2,2,2,0
"20",19,0,6,12,12,12,12,22,12,6,6,6,6,2,2,2,2,2,0,0
"21",20,0,12,36,36,22,22,22,22,36,22,22,22,12,6,2,2,2,0,0
"22",21,0,12,12,12,22,12,12,22,12,6,6,6,6,6,6,2,2,2,0
"23",22,0,6,22,22,12,12,22,22,22,22,22,12,12,6,2,2,2,0,0
"24",23,0,6,22,36,36,36,36,36,36,22,22,12,12,12,12,6,6,2,0
"25",24,0,12,22,12,22,22,22,22,22,12,12,12,12,6,2,6,2,2,0
"26",25,0,22,22,36,22,36,22,22,12,12,12,12,12,6,6,6,6,2,0
"27",26,0,22,22,36,36,22,22,22,36,36,36,22,22,12,12,6,2,0,0
"28",27,0,12,22,12,22,22,12,22,22,22,22,12,12,12,6,6,2,2,0
"29",28,0,6,12,12,12,22,22,22,22,12,12,6,12,12,6,2,0,0,0
"30",29,0,12,22,57,36,36,36,36,36,36,36,22,22,12,12,6,2,2,0
"31",30,0,12,22,22,36,36,36,36,36,57,36,36,22,22,12,6,6,2,0
"32",31,0,6,22,22,22,22,36,22,22,12,12,12,12,6,6,2,0,0,0
"33",32,0,6,22,22,22,22,22,12,6,12,6,6,6,12,12,6,6,2,0
"34",33,0,22,57,36,36,36,36,36,36,22,36,22,36,22,12,6,6,2,0
"35",34,0,6,22,36,22,36,36,22,22,22,22,36,22,22,12,6,2,2,0
"36",35,0,12,36,36,36,36,36,36,22,12,12,22,22,12,12,6,6,2,0
"37",36,0,12,12,22,22,22,22,22,22,22,22,12,12,12,6,2,2,0,0
"38",37,0,12,36,36,22,22,22,22,22,12,12,6,6,6,6,2,2,0,0
"39",38,0,6,22,22,22,22,22,22,22,22,12,22,22,12,12,12,6,2,0
"40",39,0,12,12,22,22,22,22,22,22,12,12,12,12,12,6,6,6,2,0
"41",40,0,22,22,36,57,36,36,36,22,22,22,12,6,6,2,2,2,0,0
"42",41,0,22,36,36,36,57,36,36,57,36,22,22,22,22,12,12,6,2,0
"43",42,0,22,36,22,36,36,36,36,36,22,22,22,12,12,6,6,6,2,0
"44",43,0,12,22,22,22,36,22,36,22,36,22,22,12,6,6,6,2,2,0
"45",44,0,12,22,22,36,22,22,22,22,36,36,22,12,6,6,6,2,2,0
"46",45,0,12,22,12,12,12,12,12,12,12,12,12,12,6,6,2,2,0,0
"47",46,0,12,12,12,12,22,22,22,12,12,12,12,6,6,2,2,2,2,0
"48",47,0,6,12,22,36,36,36,36,36,22,12,12,12,6,6,2,0,0,0
"49",48,0,22,22,36,36,36,36,36,36,36,22,22,22,22,22,12,6,2,0
"50",49,0,6,12,22,22,22,22,22,12,12,6,6,6,6,2,2,2,0,0
"51",50,0,12,12,22,36,36,36,36,36,22,12,12,12,12,12,6,6,2,0
"52",51,0,6,6,22,22,12,12,12,12,12,12,12,6,6,2,2,0,0,0
"53",52,0,12,36,36,57,86,86,57,57,57,36,36,36,22,12,12,6,2,0
"54",53,0,12,36,36,36,36,22,12,22,22,22,22,22,22,12,6,2,2,0
"55",54,0,22,22,12,22,22,22,12,12,12,6,6,6,6,6,2,2,2,0
"56",55,0,22,36,36,36,36,36,22,22,12,12,22,22,12,12,6,2,2,0
"57",56,0,22,36,22,36,36,36,22,22,22,22,22,12,12,6,2,2,2,0
"58",57,0,6,22,22,22,22,22,22,36,36,36,36,22,22,22,12,6,2,0
"59",58,0,22,22,22,22,12,12,12,22,22,12,12,12,6,6,6,6,2,0
"60",59,0,6,6,22,22,36,36,22,12,12,12,6,6,6,6,6,6,2,0
"61",60,0,12,36,22,22,22,12,12,12,12,12,12,12,6,6,6,2,2,0
"62",61,0,6,22,36,36,36,36,22,12,12,12,12,6,2,2,0,0,0,0
"63",62,0,12,12,22,22,12,12,12,6,6,6,6,6,6,2,2,0,0,0
"64",63,0,12,22,22,22,22,22,22,22,22,12,6,6,6,6,2,2,2,0
"65",64,0,22,22,22,22,22,12,12,12,12,12,12,12,6,6,6,2,2,0
"66",65,0,6,22,22,36,22,36,36,36,36,36,22,12,6,6,2,2,0,0
"67",66,0,12,22,22,22,22,22,22,22,12,12,6,6,6,6,2,2,0,0
"68",67,0,22,22,36,36,36,57,36,36,36,22,12,12,6,6,6,2,2,0
"69",68,0,12,36,36,36,57,57,57,57,57,36,22,22,22,12,6,2,0,0
"70",69,0,12,22,57,36,36,57,57,36,22,22,12,12,12,6,2,2,2,0
"71",70,0,12,22,22,22,22,36,22,36,36,22,12,12,12,6,6,2,0,0
"72",71,0,12,22,22,22,12,12,22,22,22,22,22,12,12,12,6,6,2,0
"73",72,0,6,22,36,36,22,22,22,22,22,22,22,22,12,12,12,6,2,0
"74",73,0,22,36,57,86,86,57,36,36,36,36,22,22,12,12,12,6,2,0
